         Reward       Distance
       106.6650         0.4473
        46.1600         0.2135
        84.4100         0.3641
        16.3550         0.0971
        93.6000         0.3926
        54.5800         0.2284
        50.2450         0.2284
        44.8900         0.2189
        43.3200         0.2069
        47.7500         0.2177
        49.7200         0.2249
        16.7600         0.0959
        42.8100         0.2173
       100.1650         0.4480
        86.0800         0.3556
        63.6650         0.2692
        50.0550         0.2284
        44.1250         0.2148
       106.4750         0.4831
        83.2400         0.3565
       129.9550         0.5685
        15.5400         0.0984
        85.4050         0.3562
        80.3400         0.3553
        16.6800         0.0946
       200.8500         0.7804
        94.1050         0.3904
        47.2000         0.2126
        17.0800         0.0974
       103.5750         0.4470
        20.1200         0.0933
        85.0750         0.3565
        44.8150         0.2205
        96.5450         0.4543
        79.6000         0.3644
        15.5800         0.0936
        48.7000         0.2233
       113.3650         0.4530
        45.7750         0.2135
        56.8550         0.2556
       101.5450         0.4524
        51.4250         0.2246
        86.3500         0.3572
        79.3850         0.3644
        83.6800         0.3559
       101.1550         0.4537
        45.1400         0.2161
        15.4950         0.0968
       115.4500         0.4508
        46.9050         0.2107
        51.3500         0.2192
        16.9200         0.0978
        48.9850         0.2145
        14.6350         0.0987
        14.9850         0.0974
        14.8350         0.0987
        61.4250         0.2635
        63.6650         0.2736
        45.0950         0.2196
        15.7350         0.0892
        99.3050         0.4527
        88.5750         0.3945
        45.8150         0.2243
       120.1900         0.5299
        74.2200         0.3568
        46.0450         0.2180
        16.1200         0.0962
       109.9900         0.4464
       101.3350         0.4492
        90.2650         0.3898
        97.8800         0.4543
        15.9850         0.0990
        80.5550         0.3562
        58.4100         0.2702
        14.5750         0.0981
        14.9300         0.0949
        82.7550         0.3568
        60.4800         0.2667
        18.3050         0.0965
        51.1500         0.2284
        83.5250         0.3572
       100.0500         0.4524
       104.5150         0.4518
        94.1950         0.4476
        83.1550         0.3600
        43.7900         0.2224
        76.0000         0.3562
       110.0300         0.4818
        17.0200         0.0959
        98.8150         0.4473
       100.3300         0.4470
        44.8100         0.2284
        85.2450         0.3559
        17.5000         0.0943
        15.6600         0.0978
       102.7700         0.4467
        82.9550         0.3565
        47.2500         0.2218
        60.2200         0.2841
        46.8700         0.2199
        14.3750         0.0981
       104.4850         0.4537
        86.6400         0.3562
        16.0250         0.0955
        16.2850         0.0981
        16.0600         0.0959
       127.3300         0.5660
        54.2850         0.2562
        15.8350         0.0984
        16.3450         0.0968
        58.2750         0.2629
        14.1800         0.0987
        58.0700         0.2803
       114.6300         0.4805
        61.0700         0.2841
        77.7850         0.3562
        84.6500         0.3932
       104.2700         0.4540
        42.7750         0.2139
        98.6250         0.4533
        49.7850         0.2183
        14.9600         0.0971
        52.3400         0.2562
        96.9850         0.4533
        15.6100         0.0968
        41.4850         0.2145
        14.9600         0.0927
        14.7750         0.0946
        51.9100         0.2632
        97.0950         0.4540
       102.2500         0.4454
        75.0600         0.3568
        88.0850         0.3904
        -0.1200         0.2284
        -0.1200         0.2284
        14.0350         0.0997
       107.8650         0.4790
       146.5850         0.6201
        14.0350         0.0997
       100.7500         0.4476
        50.5850         0.2243
        60.6150         0.2683
        14.0350         0.0997
