 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     155       272.8251       143.6884          34.93       489.5643        14.4895          4.939 2025-01-03T00:05:28
     156      -245.5499       110.5583           5.52       -47.1702        14.3101          5.093 2025-01-03T00:05:28
     157      -262.6250       117.5766           8.89       -32.0947        17.1742          5.004 2025-01-03T00:05:29
     158        21.2047       116.6234          25.23       190.0639        11.0548          4.000 2025-01-03T00:05:29
     159      -268.1700       120.3779           4.26       -71.2598        13.6721          5.119 2025-01-03T00:05:29
     160      -323.7782       197.4516           7.30       -69.5305        15.5522          5.123 2025-01-03T00:05:30
     161        32.3966       118.2406          25.24       201.9390        11.0422          4.014 2025-01-03T00:05:30
     162      -219.0993        87.9033           6.15       -42.5116        13.2636          5.128 2025-01-03T00:05:31
     163      -121.9033       172.6868          20.75       139.7593        17.5319          5.347 2025-01-03T00:05:31
     164      -224.2632        83.6411           4.78       -49.7536        13.2689          5.157 2025-01-03T00:05:31
     165      -204.7365        68.6261           4.50       -39.5311        13.0892          5.393 2025-01-03T00:05:32
     166      -223.4353        86.8628           5.24       -41.7172        13.8287          5.299 2025-01-03T00:05:32
     167      -174.6494       128.6152           9.23        20.6098        13.0952          3.810 2025-01-03T00:05:33
     168        49.4058       123.7876          25.36       222.5740        11.1274          4.021 2025-01-03T00:05:33
     169       286.1612       259.2718          36.44       608.7167        19.2920          5.344 2025-01-03T00:05:33
     170      -290.0370       141.0748           0.78       -87.9545        13.1545          5.063 2025-01-03T00:05:33
     171        57.2466       127.2312          25.42       232.4878        11.1626          4.130 2025-01-03T00:05:34
     172       167.6607        92.4594          21.37       373.2633        15.9373          4.991 2025-01-03T00:05:34
     173      -307.0467       169.1245           6.02       -78.0634        14.4421          4.916 2025-01-03T00:05:35
     174      -291.7637       151.0966           6.03       -73.2092        14.3006          5.047 2025-01-03T00:05:36
     175      -220.9666        82.8253           1.88       -50.7977        12.8756          5.166 2025-01-03T00:05:36
     176      -158.4151        44.8112           3.90       -11.1887        12.4821          5.273 2025-01-03T00:05:36
