         Reward       Distance
        16.5650         0.0924
        48.4800         0.2129
       111.9350         0.4530
        87.8700         0.3550
        44.0150         0.2284
        93.4300         0.3923
        15.1850         0.0993
        17.5450         0.0946
        62.5150         0.2543
        15.1850         0.0993
        16.9950         0.0959
        47.6150         0.2284
        16.2200         0.0978
        17.2750         0.0955
        66.3350         0.2755
        52.4750         0.2180
        15.6150         0.0990
       148.2300         0.6163
        85.2250         0.3565
        82.8350         0.3572
        91.9200         0.3888
       115.2650         0.4473
        14.5800         0.0984
        18.0200         0.0946
        15.7800         0.0974
        45.3750         0.2284
        16.6800         0.0936
        60.3800         0.2680
        48.4100         0.2284
        49.6650         0.2208
        60.9300         0.2680
        85.5100         0.3600
       105.2850         0.4476
       104.3500         0.4537
        45.7950         0.2284
        79.8050         0.3603
        48.3150         0.2167
        16.1700         0.0987
        19.0150         0.0965
        46.8350         0.2284
        88.3450         0.3565
        59.5400         0.2562
        47.3850         0.2132
        54.9200         0.2569
        15.9200         0.0981
        57.0500         0.2578
        49.2200         0.2284
        47.3350         0.2205
       103.2350         0.4540
        43.4200         0.2177
        78.7950         0.3635
        15.7700         0.0962
        16.9950         0.0965
        15.5600         0.0997
        14.6700         0.0981
       104.7550         0.4454
        61.4450         0.2838
        15.1050         0.0936
        49.6500         0.0715
        48.9400         0.2284
        46.1900         0.2177
       106.1600         0.4527
        49.9750         0.2249
        16.8050         0.0905
        43.3100         0.2094
        87.5550         0.3591
        15.9850         0.0955
        83.7900         0.3920
       136.3600         0.5628
        18.1700         0.0959
        78.6600         0.3553
        60.4800         0.2841
        17.3400         0.0936
        15.1350         0.0968
        49.0900         0.2243
        51.6050         0.2284
        87.0850         0.3894
        14.3350         0.0933
        51.4050         0.2256
        15.5250         0.0936
        96.8550         0.4540
        59.4300         0.2645
        81.1850         0.3575
        16.0600         0.0946
        47.5250         0.2259
        17.9350         0.0959
        50.5950         0.2173
        15.0900         0.0978
        55.8600         0.2705
        19.9650         0.2202
        14.0800         0.0984
        80.9400         0.3556
        44.8200         0.2164
        85.3700         0.3550
        44.1850         0.2177
        14.1900         0.0993
        16.4650         0.0908
        14.1900         0.0993
        61.1850         0.2835
        43.5200         0.2129
        14.1900         0.0993
        45.1350         0.2142
        61.3600         0.2610
        14.0350         0.0997
        50.2000         0.2183
        18.9750         0.0955
       147.7100         0.6175
        80.5550         0.3568
        14.0350         0.0997
        14.7400         0.0917
        15.3550         0.0987
        14.0350         0.0997
