 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     275        45.3066         2.9468           5.50       177.1859        13.0406         22.351 2024-12-29T16:27:49
     276        21.4129         0.6550           4.86       145.7891        12.4049         22.445 2024-12-29T16:27:49
     277        28.5726         1.1397           5.79       162.4392        13.3297         22.540 2024-12-29T16:27:49
     278        54.7143         4.4321           6.32       195.5768        13.8646         23.314 2024-12-29T16:27:50
     279        62.7517         5.5680           6.85       209.4312        14.3896         22.485 2024-12-29T16:27:50
     280       119.6740        27.4305          11.68       325.5452        19.2156         22.250 2024-12-29T16:27:52
     281        13.6195         0.3829           3.99       129.0667        11.5256         22.111 2024-12-29T16:27:53
     282        17.8506         0.8684           7.78       171.4391        15.3154         21.405 2024-12-29T16:27:53
     283        71.0500         7.6649           6.14       211.6966        13.6814         22.287 2024-12-29T16:27:55
     284       115.5099        21.2374           8.73       288.8152        16.2687         22.079 2024-12-29T16:28:10
     285        49.5573         3.6246           5.92       186.0038        13.4634         21.902 2024-12-29T16:28:10
     286       120.6267        21.6732           7.73       284.1713        15.2708         22.189 2024-12-29T16:28:10
     287        27.4872         1.0456           4.89       152.3676        12.4358         21.776 2024-12-29T16:28:10
     288        36.2739         1.9127           5.06       163.2296        12.5999         22.337 2024-12-29T16:28:11
     289        25.8923         0.9218           5.61       157.8664        13.1513         21.875 2024-12-29T16:28:11
     290        54.8971         4.5497           6.10       193.5823        13.6410         21.638 2024-12-29T16:28:11
     291        75.4408         8.4730           7.45       229.5605        14.9883         22.207 2024-12-29T16:28:13
     292       143.3978        42.1871          10.57       345.6589        18.1168         21.836 2024-12-29T16:28:13
     293        27.5355         1.0164           4.06       144.0544        11.6011         22.813 2024-12-29T16:28:16
     294         1.9401         0.1118           7.15       148.8483        14.6852         23.413 2024-12-29T16:28:17
     295        54.5536         4.4167           5.41       186.3072        12.9545         24.471 2024-12-29T16:28:20
     296        69.8320         7.5194           6.76       216.5388        14.2947         22.577 2024-12-29T16:28:32
     297        36.3940         1.8076           5.78       170.4693        13.3172         22.800 2024-12-29T16:28:32
     298        22.2888         0.6647           4.72       145.2453        12.2624         22.885 2024-12-29T16:28:33
     299       106.3514        17.2864           8.13       271.6447        15.6650         23.106 2024-12-29T16:28:33
     301        53.0111         4.1948           6.57       196.1510        14.1043         23.667 2024-12-29T16:28:35
     302        13.0329         0.2104           5.22       140.7127        12.7575         24.389 2024-12-29T16:28:35
     303        62.6445         5.8922           7.11       212.0459        14.6455         24.286 2024-12-29T16:28:37
     304        62.8607         6.4447           6.51       206.5998        14.0517         25.116 2024-12-29T16:28:39
     305        47.3461         3.6872           5.28       177.3715        12.8182         23.544 2024-12-29T16:28:39
     306       -13.0282         0.5109           6.77       130.2859        14.3059         23.726 2024-12-29T16:28:40
     307        29.2389         1.2113           4.65       151.7629        12.1918         22.082 2024-12-29T16:28:42
     300        63.5524         6.6056           5.76       199.8849        13.3030         23.690 2024-12-29T16:28:46
     308        39.8603         4.3371           7.32       190.6014        14.8572         24.239 2024-12-29T16:28:57
     309         9.5460         0.3128           5.68       141.9386        13.2236         24.088 2024-12-29T16:28:57
